DATE,China,Brazil,USA
1976-01-01,-0.03081321983270524,0.07176243226189061,0.04389433010900845
1977-01-01,0.0611400167469609,0.021235610625611967,0.03561746718488479
1978-01-01,0.10182294494171895,0.007905448763693146,0.04449086538022917
1979-01-01,0.06174224075210977,0.042530125144209174,0.02043327744842771
1980-01-01,0.06463001267104196,0.06558832005390913,-0.011972608800271956
1981-01-01,0.03833797117650595,-0.06615382009479753,0.015925171222137102
1982-01-01,0.07341931345602082,-0.017347617777113244,-0.028415486645351207
1983-01-01,0.09245216354408758,-0.055917412664305166,0.036800812706451635
1984-01-01,0.13638334195261725,0.029616294473102878,0.06334427895273387
1985-01-01,0.11909108399730739,0.056692861012851425,0.033191282756335205
1986-01-01,0.07331332018477799,0.05801530536009447,0.02559404030608059
1987-01-01,0.09912166137702005,0.015828485002578274,0.02541097030765127
1988-01-01,0.09457901152206327,-0.019698410009166833,0.03262083554206896
1989-01-01,0.02600704107423768,0.01426776704964472,0.02705968525745628
1990-01-01,0.02393612459487171,-0.04771936597559656,0.007745162001909334
1991-01-01,0.07812957790197572,-0.0016339537759700873,-0.014004735644576272
1992-01-01,0.1282494547356159,-0.0204412809840947,0.021291144843286203
1993-01-01,0.12566027995704943,0.03051400165930951,0.013998618431040777
1994-01-01,0.11781568694183275,0.03725363499235668,0.02769624595621334
1995-01-01,0.09750279001358497,0.028163365696350695,0.015030653054289633
1996-01-01,0.0878218488286937,0.006320355111030906,0.02595305248108959
1997-01-01,0.0811854811854833,0.01799595232585216,0.03236586682536302
1998-01-01,0.06807806319313392,-0.012049086461118352,0.03239392481226
1999-01-01,0.06739270027273081,-0.010607655984386954,0.03489933532021383
2000-01-01,0.07640001655342021,0.025529029468111863,0.029402917749953073
2001-01-01,0.07555801671755602,-0.0010635445363377238,-0.00018489777756791614
2002-01-01,0.08401915061450249,0.015584417406256046,0.008461259531976406
2003-01-01,0.09352364261735602,-0.002810061406549047,0.019269568757038114
2004-01-01,0.09459175050314861,0.0434549810956113,0.02829653488695949
2005-01-01,0.10742552314170317,0.019083378078039948,0.0239704601602857
2006-01-01,0.12091836271647183,0.027521821852283468,0.016814164585620794
2007-01-01,0.13636344857516702,0.04922003436365707,0.008151882205001515
2008-01-01,0.090938721024024,0.04023176348622193,-0.012302821687341647
2009-01-01,0.08857029818804141,-0.011066345781334697,-0.036241241147220715
2010-01-01,0.10103100723312664,0.06492588618394035,0.016783352955060282
2011-01-01,0.09012854035019902,0.029874674448808092,0.008283283906874939
2012-01-01,0.07332030984253546,0.00972445058401017,0.014482392771902441
2013-01-01,0.07226936453871757,0.019993190436049968,0.009303146245913663
2014-01-01,0.06755778416255809,-0.0038292887944522125,0.015743665539424745
2015-01-01,0.06376423062407066,-0.04588568727840581,0.017945088722874925
